sentence,course,discipline,institution,contributor,stance,confidence,prob_disc,prob_cond,prob_enc
"""AI Use Policy 

The use of AI in Professor Eichman’s courses is allowed.",AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,encouraging,0.8574608564376831,0.11029273,0.032246433,0.85746086
"However, AI use is never required, and there are specific rules for students who use it.",AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,discouraging,0.4848824441432953,0.48488244,0.44719315,0.06792445
"Students who use AI in a manner deemed unacceptable by the outline below will be considered to have violated the academic dishonesty policies set forth by the college, which puts the student at risk of failing or expulsion.",AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,discouraging,0.6676746010780334,0.6676746,0.20954797,0.12277745
"Acceptable Uses of AI in This Course:

1)",AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,encouraging,0.9390513896942139,0.044113785,0.01683485,0.9390514
Initial Learning: AI can be used to find general information or begin your research into a topic.,AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,encouraging,0.9620962738990784,0.011396533,0.026507173,0.9620963
"2)        Brainstorming: AI can help generate ideas for your writing, or help you to plan what you want to present in your paper/assignment/project.",AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,encouraging,0.9618608951568604,0.017320035,0.020819081,0.9618609
"a.        Ex: You are stuck between tundra or desert ecosystem and want to plan out which you’d prefer to use 

3)        Grammar and Editing: AI can be used for grammar, formatting, and editing.",AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,encouraging,0.5315406322479248,0.37089884,0.097560495,0.53154063
"Prohibited Uses of AI in This Course:

1)",AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,discouraging,0.6580817103385925,0.6580817,0.1188783,0.22304
"Cheating: Submitting entirely or majorly AI-generated work as your own, including discussion posts, essays, free response quiz/exam questions, and projects, is strictly prohibited.",AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,discouraging,0.6189176440238953,0.61891764,0.35251826,0.028564064
Plagiarism/Sourcing: Do not rephrase or paraphrase sources using AI without proper citation.,AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,conditional,0.4968211054801941,0.47910175,0.4968211,0.024077121
AI cannot be used as a primary or secondary source.,AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,conditional,0.5816861987113953,0.38795483,0.5816862,0.030358989
"You may use AI to find sources, as discussed in “Initial Learning” above, but you cannot cite the AI itself, you must confirm and cite the source it came from.",AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,conditional,0.9091106653213501,0.069146454,0.90911067,0.0217429
Misrepresentation: Presenting AI-generated ideas or analysis as your own is considered academic dishonesty.,AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,conditional,0.4916626214981079,0.4739196,0.49166262,0.03441782
"Any time AI is used, you must acknowledge it.",AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,discouraging,0.42201608419418335,0.42201608,0.21446402,0.36351988
"Acknowledgement requirement for AI Use:

WHEN AI IS USED, you must mention what it was used for, which AI was used, and the day you used it.",AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,encouraging,0.5097802877426147,0.3133041,0.17691565,0.5097803
"Example: “In this paper, ChatGPT 5o was used to help establish a baseline idea to write the paper, then to help locate primary sources A, B, C, and then to edit the grammar in the last 3 pages of the document on 8/18/2025.
""",AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,encouraging,0.5853143930435181,0.33106452,0.08362114,0.5853144
"Use of GAI tools for academic work:  a caution
Please do not use Generative AI tools as a substitute for your own thinking, reflections, and voice.",ANTH-6611: seminar in Applied Anthropology,Anthropology,"University of North Carolina, Charlotte",Donna Lanclos,conditional,0.6716348528862,0.2870859,0.67163485,0.041279294
"If you are uncertain, that’s OK, and it’s fine for it to be reflected in your writing.",ANTH-6611: seminar in Applied Anthropology,Anthropology,"University of North Carolina, Charlotte",Donna Lanclos,conditional,0.5499604344367981,0.20968194,0.54996043,0.2403576
I prefer that to the smooth and certain bullshit that is extruded by GAI tools.,ANTH-6611: seminar in Applied Anthropology,Anthropology,"University of North Carolina, Charlotte",Donna Lanclos,encouraging,0.5780850052833557,0.24197276,0.17994222,0.578085
The increasing availability of generative artificial intelligence (GAI) tools like ChatGPT presents new challenges for university classes.,ANTH-6611: seminar in Applied Anthropology,Anthropology,"University of North Carolina, Charlotte",Donna Lanclos,encouraging,0.949982225894928,0.030783452,0.01923436,0.9499822
"Things to think about: ChatGPT can help students brainstorm questions they go onto investigate, or create counterarguments to strengthen their essays.",ANTH-6611: seminar in Applied Anthropology,Anthropology,"University of North Carolina, Charlotte",Donna Lanclos,encouraging,0.9661145210266113,0.015471738,0.018413771,0.9661145
"Use of generative AI in class and for assignments
You are welcome to use generative AI tools (e.g. ChatGPT, Dall-e, etc.) in this class as doing so aligns with the course objectives of Creating Mission and Vision Statements, Creating a Sample Budget, and Creating Plans for your own Performing Arts Organization or Museum.",ACM271 - Intro to Arts & Cultural Management,Arts,Michigan State University,"Max Evjen

Twitter: @cantus94
Bluesky: @cantus94.bsky.social",encouraging,0.9333784580230713,0.050065003,0.016556624,0.93337846
You may not use generative AI for the remaining assignments.,ACM271 - Intro to Arts & Cultural Management,Arts,Michigan State University,"Max Evjen

Twitter: @cantus94
Bluesky: @cantus94.bsky.social",discouraging,0.6816962957382202,0.6816963,0.22745675,0.09084696
"You are responsible for the information you submit based on an AI query (for instance, that it does not violate intellectual property laws, or contain misinformation or unethical content).",ACM271 - Intro to Arts & Cultural Management,Arts,Michigan State University,"Max Evjen

Twitter: @cantus94
Bluesky: @cantus94.bsky.social",discouraging,0.5879915356636047,0.58799154,0.38834092,0.023667624
Your use of AI tools must be properly documented and cited in order to stay within university policies on academic integrity and the Spartan Code of Honor Academic Pledge.,ACM271 - Intro to Arts & Cultural Management,Arts,Michigan State University,"Max Evjen

Twitter: @cantus94
Bluesky: @cantus94.bsky.social",discouraging,0.4914824664592743,0.49148247,0.3495621,0.15895541
"Remember, AI is not likely to generate a response that would be seen as quality work and should be modified and improved.",ACM271 - Intro to Arts & Cultural Management,Arts,Michigan State University,"Max Evjen

Twitter: @cantus94
Bluesky: @cantus94.bsky.social",conditional,0.5139380097389221,0.42729566,0.513938,0.0587663
