sentence,course,discipline,institution,contributor,stance,confidence,prob_disc,prob_cond,prob_enc,word_count
Plagiarism/Sourcing: Do not rephrase or paraphrase sources using AI without proper citation.,AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,conditional,0.4968211054801941,0.47910175,0.4968211,0.024077121,12
AI cannot be used as a primary or secondary source.,AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,conditional,0.5816861987113953,0.38795483,0.5816862,0.030358989,10
"You may use AI to find sources, as discussed in “Initial Learning” above, but you cannot cite the AI itself, you must confirm and cite the source it came from.",AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,conditional,0.9091106653213501,0.069146454,0.90911067,0.0217429,30
Misrepresentation: Presenting AI-generated ideas or analysis as your own is considered academic dishonesty.,AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,conditional,0.4916626214981079,0.4739196,0.49166262,0.03441782,13
"Use of GAI tools for academic work:  a caution
Please do not use Generative AI tools as a substitute for your own thinking, reflections, and voice.",ANTH-6611: seminar in Applied Anthropology,Anthropology,"University of North Carolina, Charlotte",Donna Lanclos,conditional,0.6716348528862,0.2870859,0.67163485,0.041279294,26
"If you are uncertain, that’s OK, and it’s fine for it to be reflected in your writing.",ANTH-6611: seminar in Applied Anthropology,Anthropology,"University of North Carolina, Charlotte",Donna Lanclos,conditional,0.5499604344367981,0.20968194,0.54996043,0.2403576,17
"Remember, AI is not likely to generate a response that would be seen as quality work and should be modified and improved.",ACM271 - Intro to Arts & Cultural Management,Arts,Michigan State University,"Max Evjen

Twitter: @cantus94
Bluesky: @cantus94.bsky.social",conditional,0.5139380097389221,0.42729566,0.513938,0.0587663,22
"GAI can be a powerful learning tool, but like all tools, it has limitations and weaknesses that you should be aware of.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,conditional,0.523884654045105,0.2170957,0.52388465,0.2590196,22
GAI can fabricate seemingly credible data and generate wholly inaccurate content that is nonetheless highly persuasive.,BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,conditional,0.8174868822097778,0.096869566,0.8174869,0.08564354,16
"Therefore, it is imperative that you carefully read and verify GAI-generated content when incorporating it into your learning experience.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,conditional,0.5228860974311829,0.07559091,0.5228861,0.40152302,19
"While GAI can be used to enhance your work, inappropriate and/or unethical use of GAI can negatively impact your education and professional development.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,conditional,0.5609089732170105,0.33178535,0.560909,0.10730568,23
"In case of new developments in AI ethics or technology during the semester, the instructor reserves the right to amend this policy to protect academic integrity and ethical standards.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,conditional,0.45562171936035156,0.4141617,0.45562172,0.13021655,29
"AI may be used to help refine or enhance your work, but only after you have actively engaged with the material yourself.",BI1151 Elements of Microbiology,Biology,Fairfield University,Christine Rodriguez,conditional,0.8806072473526001,0.06265686,0.88060725,0.05673588,22
"* Research and Citation: When using AI to research topics, you must cite any information obtained from AI sources, just as you would with books, articles, or websites.",BIOL110 Introduction to Biology,Biology,College of Marin,Wendy St. John,conditional,0.8553591370582581,0.053834833,0.85535914,0.090806,28
Note: AI can sometimes produce factual errors.,BIOL110 Introduction to Biology,Biology,College of Marin,Wendy St. John,conditional,0.5079839825630188,0.39611652,0.507984,0.09589946,7
"Accuracy of Information and Verification: While AI tools are powerful, they are not infallible.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.7334253191947937,0.16667332,0.7334253,0.099901356,14
